class_name,class_desc,prereq,coreq
AFNS 508,"Introduction to databases, software tools, and analysis methods used to characterize DNA and protein sequences and to measure gene expression. Topics include information retrieval from sequence databases, protein function prediction, assessing sequence similarity, measuring gene expression, and the analysis of high-throughput sequencing data using command-line tools. Prerequisite: consent of instructor.",,
AFNS 510,"Fundamentals in bio-based materials development, characterization, and applications. Sources and classification of biomaterials, synthesis of renewable polymeric biomaterials, their characterization using different techniques, and industrial applications will be discussed. Prerequisite: consent of instructor.",,
AFNS 511,"Application of immunological principles to the understanding of animal health and disease with a focus on livestock and companion animals. Students will apply a broad understanding of host-pathogen interactions and the basic mechanisms of disease progression to assess the short and long-term impact of pathogenesis to the health of animals, their caretakers, and consumers. Lectures will be followed by active discussion of selected readings. Not to be taken if credit received for AN SC 411. Prerequisites: IMIN 200 and consent of instructor.",['IMIN 200'],
AFNS 512,"Statistical methods in quality assurance, sampling plans, control charts, sensory evaluation and risk management in the food industry, HACCP, good manufacturing practices, food regulations, labeling requirements, auditing and ISO 9000 standards. Prerequisite: consent of instructor. Not to be taken if credit received for NU FS 312.",,
AFNS 514,"Fundamentals in lipid biochemistry featuring learning modules of relevance to students of plant, food and animal science, and human nutrition, and other life science. Topics include characteristics of lipids, environmental effects on lipid metabolism, oilseed biotechnology and biomass solutions for petrochemical alternatives. Normally offered in alternate years. Not to be taken if credit received for AFNS 414. Prerequisite: BIOCH 200, PL SC 345, or consent of instructor.","['BIOCH 200', 'PL SC 345']",
AFNS 516,"'One Health' is an emerging paradigm in public and veterinary health which recognizes that human, animal and environmental health are interlinked. The course will address food and water safety, the increase in prevalence of antibiotic resistant organisms, emerging infectious zoonotic diseases, environmental protection and environmental sustainability, emphasizing the interaction of these diverse yet interconnected disciplines in protecting the health of populations. Not to be taken if credit received for AFNS 416, SPH 416, or SPH 516. Prerequisite: consent of instructor.",,
AFNS 520,"A discussion-based course on current literature in digestive physiology, endocrinology, and metabolic diseases of ruminant animals. Offered only in odd numbered years. Prerequisite: 3 units in Nutrition and 3 units in Physiology.","['3 UNITS IN NUTRITION', '3 UNITS IN PHYSIOLOGY']",
AFNS 521,"The conversion of muscle to meat in livestock and poultry: definitions and measurement of carcass and meat quality; influences of pre- and post-slaughter factors on carcass and meat quality. The lab will consist of a two-day field trip during Reading Week. Not to be taken if credit received for AN SC 420. Prerequisites: 3 units in BIOCH or 3 units in AN SC 320, and consent of instructor.","[['3 UNITS IN BIOCH', '3 UNITS IN AN SC 320']]",
AFNS 522,"Will focus on taking a practical approach to whole cell fermentation systems and enzyme-based approaches as well as synthetic biology. The students will learn the theories behind, and applications of, the most commonly used approaches in the bio-industrial and food industries. The course will deploy a mixture of lectures, peer discussion and debate, guest speakers, and group activities. Prerequisite: 3 units in Microbiology or 3 units in Food Microbiology, or consent of instructor.","[['3 UNITS IN MICROBIOLOGY', '3 UNITS IN FOOD MICROBIOLOGY']]",
AFNS 524,"A lecture and reading course to address nutritional issues specifically related to cancer prevention, diagnosis, treatment and recovery. Not to be taken if credit received for NU FS 424, ONCOL 424, or ONCOL 524. Prerequisite: consent of instructor. (Offered jointly by the Department of Agricultural, Food and Nutritional Science and the Faculty of Medicine and Dentistry).",,
AFNS 527,Providing students with an understanding of the principles of risk: benefit evaluations related to safety concerns about foods. Not to be taken if credit received for NU FS 427. Prerequisite: consent of instructor.,,
AFNS 528,"Overview of the role of microorganisms in the gastrointestinal tract and the impact on human health, interaction with dietary components and potential dietary modulation of the microbiome in the prevention of chronic disease. Not to be taken if credit received for NU FS 428. Prerequisite: consent of instructor. 3 units in MICRB and 6 units in PHYSL recommended.",,
AFNS 530,"Principles and methods of analysis of the sensory properties of foods; appearance, texture, aroma, and taste. Physiology of sensory receptors. Applications, advantages, and limitations of sensory methods. Not to be taken if credit received for NU FS 430. Prerequisite: consent of instructor.",,
AFNS 532,"Chemistry and technology of food protein purification, modification, structure and functional properties. Food related proteins from animal and plant sources will be discussed. Prerequisite: Consent of instructor.",,
AFNS 536,"Exploration of the scientific literature in selected topics in Nutrition. Lectures in fundamentals of human nutrition related to each topic will be presented to compliment discussion and critical review of readings from primary research and review papers. Application of new findings to understanding of human nutrition will be addressed. Lectures are the same as for NU FS 436, but with additional assignments and evaluation appropriate to graduate studies. Credit will only be given for one of AFNS 536 and NU FS 436. Prerequisite: consent of instructor.",,
AFNS 540,"Applied biostatistics for the animal, food, biological and veterinary sciences. Hypothesis testing and experimental design will be highlighted. Statistical methods introduced will include analysis of variance and covariance, mixed models, linear and multiple regression and correlation, factorials, response surface and fractional factorials, repeated measures, non-parametric and categorical data analysis, and multivariate methods using common statistical software. Prerequisite: consent of instructor.",,
AFNS 542,"This course provides a comprehensive review on sustainability in the food and green products industries, and provides a hands-on introduction to methods such as Life Cycle Assessment (LCA) which is used to evaluate the environmental impact of products and processes. Not to be taken if credit received for NU FS 442. Prerequisite: consent of instructor.",,
AFNS 543,"This is an advanced course examining the relationship between the role of lifestyle factors in the etiology and pathophysiology, as well as the treatment of type 2 diabetes and cardiovascular disease. Application of recent findings to our understanding of these chronic metabolic diseases will be addressed. Not to be taken if credit received for NUTR 443. Prerequisite: consent of instructor.",,
AFNS 545,"This course will enable students to get a comprehensive understanding of the production and use of plant bioproducts. By the end, students will be able to properly outline the most recent research, development and production of certain plant bioproducts in written and oral presentations. The following contexts will be given special consideration in lectures: carbon cycle and human impacts, strategies for reducing our environmental footprint, and production and application of plant-based industrial materials. Students will also prepare a written overview on a given topic and then give an oral presentation about this topic in class. Not to be taken if credit received for PL SC 345. Prerequisite: consent of instructor.",,
AFNS 552,"A lecture and reading course for graduate students to review current research and the scientific basis of nutrition intervention in the prevention and treatment of chronic human disease. Translation of research findings to nutrition recommendations in topical areas including global health and food supply, obesity, cardiovascular disease, polycystic ovary syndrome and behavior-cognitive disorders. Not to be taken if credit received for NUTR 452. Prerequisite: consent of instructor. 6 units in PHYSL recommended.",,
AFNS 554,"Processes used in food preservation. Dehydration, freezing, sterilization and canning, irradiation and high pressure processing. Effect of processing on food properties. Not to be taken if credit received for NU FS 454. Prerequisite: consent of instructor.",,
AFNS 556,"A lecture course that examines the understanding of how nutrients act on a cellular, tissue and the whole organism to influence human growth, development and aging. Prerequisite: consent of instructor.",,
AFNS 561,"Integration of theory and practical concepts in ruminant nutrition, digestion and metabolism through topics such as energy flow in ruminants, protein systems and net feed efficiency. Laboratories will involve formulation of rations for various physiological states of beef and dairy cattle, economical rations, feed mixes, protein systems (degradable and undegradable protein systems) and net feed efficiency formulations. Not to be taken if credit received for AN SC 461. Prerequisite: consent of instructor.",,
AFNS 562,"Nutrient utilization and requirements, feed ingredients, and applied feeding program. Feed formulation strategies and current topics in swine nutrition will be discussed in detail. Not to be taken if credit received for AN SC 462. Prerequisite: consent of instructor.",,
AFNS 563,"Nutritional requirements, feeding programs, and feed ingredients used for poultry. Feed formulation strategies and current topics in poultry nutrition will be discussed extensively. Not to be taken if credit received for AN SC 462, AN SC 463, or AFNS 515. Prerequisite: consent of Instructor.",,
AFNS 565,"This course will focus on different plant breeding methods and their relationship to the major crop species, as well as use of different molecular and biotechnology techniques in plant breeding. Not to be taken if credit received for PL SC 465. Prerequisite: consent of instructor.",,
AFNS 566,"A lecture/discussion course on selected topics in food microbiology. Prerequisite: One of: (MICRB 265, NU FS 361, or 363) and consent of instructor.","[['MICRB 265', 'NU FS 361', 'NU FS 363']]",
AFNS 568,Basic principles of nutrition in clinical situations. The role of diet in the management of various diseases. The laboratory sessions include practical experience in providing individualized nutritional care for clients from various cultural backgrounds. Not to be taken if credit received for NUTR 468. Pre- or corequisite: NUTR 301.,,['NUTR 301']
AFNS 569,A discussion-based course on selected topics in energy and nitrogen digestion and metabolism in domestic animals. Normally offered in alternate years. Prerequisites: 400 level animal nutrition course and consent of instructor.,['400 LEVEL ANIMAL NUTRITION COURSE'],
AFNS 570,"Current methodologies in nutrition and metabolism. Prerequisites: NUTR 301 and NUTR 302, or consent of instructor.","['NUTR 301', 'NUTR 302']",
AFNS 571,"Study of avian anatomy, physiology, behavior, and health as it relates to modern poultry production. Current management practices to optimize production efficiency and animal well-being are examined. Not to be taken if credit received for AN SC 471. Prerequisite: consent of instructor.",,
AFNS 572,"Cumulative effects of fire, grazing, browsing, and improvement practices on the productivity and species composition of range and pasture ecosystems, including management implications. Extended field trip prior to the start of classes. Normally offered in alternate years. Not to be taken if credit received for ENCS 471. Prerequisite: ENCS 356. ENCS 406 recommended.",['ENCS 356'],
AFNS 574,"Examination of current and potential future production and management practices to optimize production efficiency and animal well-being in the Canadian and international beef industry. Laboratories emphasize practical applications, field trips, and discussion. Not to be taken if credit received for AN SC 474. Prerequisite: consent of instructor.",,
AFNS 575,"Modular course offering training in a variety of research technologies. Modules offered will vary from term to term. Modules may include HPLC, gel electrophoresis, real-time PCR, gene isolation and cloning, gene amplification, cDNA library screening and microarray. Prerequisite: Consent of Instructor.",,
AFNS 576,"Evaluation of swine breeding, feeding, housing management, and disease prevention practices that optimize production efficiency and animal well-being. Laboratories involve analysis of production practices with a view to optimizing efficiency. Not to be taken if credit received for AN SC 476. Prerequisite: consent of instructor.",,
AFNS 577,"Examination of nutrition problems in contemporary communities that relate to health promotion, food security, policy, program planning and community nutrition throughout the life cycle. Discussion of nutrition programs and resources. Students will develop the skills to write a community grant application. Not to be taken if credit received for NUTR 477. Prerequisite: consent of instructor.",,
AFNS 578,"The principles of diet therapy in selected areas of current interest. Emphasis on case studies, research and practical problems in clinical dietetics. Not to be taken if credit received for NUTR 476. Prerequisite: consent of instructor.",,
AFNS 579,"A lecture and reading course in vitamins and inorganic elements. Introduction to seminar presentation and critical evaluation of current literature. Students will also learn the skill of writing a scientific paper. Lectures are the same as for NUTR 479, with additional assignments and evaluation appropriate to graduate studies. Credit will only be given for one of AFNS 579, NUTR 479, and NU FS 479. Prerequisite: NUTR 302. NUTR 301 (or 303) recommended.",['NUTR 302'],
AFNS 580,Emerging issues in microbiological safety of foods. Reading and class presentations on current developments in the microbiological safety of foods. Not to be taken if credit received for NU FS 480. Prerequisite: MICRB 265 or consent of instructor.,['MICRB 265'],
AFNS 581,Critical evaluation of current literature on the effects of ingredients and processing on quality characteristics of foods. Not to be taken if credit received for NU FS 481. Prerequisites: NU FS 374 and 3 units BIOCH or consent of instructor.,"['NU FS 374', '3 UNITS BIOCH']",
AFNS 582,"Diseases of cereal, oilseed, pulse, forage, vegetable, fruit, and ornamental crops. Normally offered in alternate years. Not to be taken if credit received for PL SC 481. Prerequisite: PL SC 380 or consent of instructor.",['PL SC 380'],
AFNS 583,"An advanced course on plant diseases; the nature of nonparasitic and parasitic causal agents such as air pollutants, temperature, viruses, bacteria, fungi, higher plants and nematodes; principles involved in disease prevention and control. Not to be taken if credit received for PL SC 380. Prerequisite: consent of the instructor.",,
AFNS 585,"Genomics and analysis of quantitative traits in farm animals and plants. Detecting, locating and measuring effects of quantitative traits loci (QTL). Recent developments in QTL mapping and gene discovery and genomic selection. Lectures will be followed by active discussion of selected readings and demonstration of commonly used software for analyzing genomic data. Normally offered in alternate years. Prerequisite: consent of instructor.",,
AFNS 595,"Integrated agronomic, mechanical, biological, and chemical control of insects, disease organisms, and weeds that interfere with field crop and horticultural crop production. Not to be taken if credit received for PL SC 495. Prerequisites: ENT 222, PL SC 352, and PL SC 380; one course may be taken as a corequisite, or consent of the instructor.","['ENT 222', 'PL SC 352', 'PL SC 380']",
AFNS 598,A team-based capstone course exploring broad areas of food safety and quality. Students will work in groups with mentors on a project involving experiential learning and skill development related to the field. Restricted to students in the MSc Specializations Food Safety and Quality and Meat Quality that have completed 20 units of the program requirements. Prerequisite: consent of instructor.,,
AFNS 599,"Advanced analysis of food and agri-industrial materials with a focus on good laboratory practices (GLP), chromatographic techniques (HPLC, GC), mass spectrometry, and other modern techniques from sample preparation to analysis of data. Not to be taken if credit received for NU FS 499. Prerequisite: NU FS 372 or consent of instructor.",['NU FS 372'],
AFNS 601,"Covers specialized topics of current interest to graduate students in AFNS. Presentations by students, faculty and invited speakers. Students register in one of four sections - Animal Science, Plant Science, Food Science or Human Nutrition. Attendance is required of all graduate students throughout their program. MSc students normally register for one term in year 2, and are required to present one seminar; PhD students normally register for one term in each of year 1 and 3, and are required to present one seminar per term.",,
AFNS 602,Individual study. Critical reviews of selected literature under the direction of a Faculty member. Note: May be taken more than once if the topic is different. Prerequisite: consent of Department.,['CONSENT OF DEPARTMENT'],
AFNS 603,Directed laboratory study under supervision of a Faculty member. Note: May be taken more than once if the topic is different. Prerequisite: consent of Department.,['CONSENT OF DEPARTMENT'],
AFNS 660,"Course designed for graduate students in the early stages of their graduate program. Students will learn effective communication skills for life as a graduate student and a future scientist. Topics will include the scientific method; paper, thesis and grant writing; poster and lecture development and delivery; ethics in science; graduate student supervisor relationships. Preference given to those in the first year of their program. Prerequisite: consent of instructor.",,
AFNS 670,"Selected topics in digestive physiology, fat/carbohydrate/protein metabolism, vitamins/minerals, dietary modulation of function or ruminant nutrition. May be taken for credit more than once.",,
AFNS 675,"To develop skills in critical review of the literature, formulation of research questions and hypotheses, and the execution and presentation of research in the nutrition and metabolism fields. Lectures include concepts in experimental design, logistics of data collection and basic statistical analysis. The seminar includes practical application of these tools and completion of a critical review to compliment student's research program. Normally taken by students in the MSc and PhD in Nutrition and Metabolism during the first year of their graduate studies program.",,
AFNS 900,"Individual study supervised by the student's supervisor, requiring the preparation of a comprehensive report, presentation of a seminar and oral examination by the student's supervisor and one additional faculty member.",,
ALES 204,"Successful professionals require strong communication skills. This course focuses on interpersonal communication in professional settings, examining factors that enhance or impede communication and exploring strategies for communicating more effectively with different audiences. Students develop written, visual, and oral communication skills that help them connect with others both in and outside the organization, and convey information in positive and persuasive ways. [Human Ecology]",,
ALES 291,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 291A,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 291B,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 391,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 391A,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 391B,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 491,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 491A,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
ALES 491B,Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.,,
AN SC 100,"An orientation to current issues and challenges related to animal health and disease in a global context. An interdisciplinary overview of the role and importance of animal health in modern society and its relationship to agriculture, food safety and human health. Causes of disease and the principles of maintaining healthy animals. The history and development of animal health professions and their roles. Not to be taken if credit received for AN SC 375. Prerequisite: Biology 30.",['BIOLOGY 30'],
AN SC 101,"Principles and practices of modern animal production and management. Brief introduction to the structure of the livestock, poultry, and game ranching industries. Principles of animal management, breeding and feeding. Current issues in animal agriculture. Students gain direct experience with animals in production/research environments. Not to be taken if credit received for AN SC 200. Prerequisite: Biology 30.",['BIOLOGY 30'],
AN SC 120,"Diverse and evolving roles of companion animals in human society. Pets and the companion animal industry. Topics include: behavior, cognition and training; breeds and breeding; performance; nutrition, health and physiology. Prerequisite: Biology 30.",['BIOLOGY 30'],
AN SC 205,Hands-on internship with food production animals. Students will develop skills in animal husbandry practices and record keeping. Pre- or co-requisite: ANSC 101 and consent of instructor.,,['ANSC 101']
AN SC 260,"Function, metabolism, homeostasis, requirements and sources of nutrients and energy for animals. Laboratory will involve principles of diet formulation. Prerequisite: 3 units in BIOL or 3 units in CHEM.","[['3 UNITS IN BIOL', '3 UNITS IN CHEM']]",
AN SC 310,"Fundamental principles of regulation and maintenance of the internal environment. Includes a review of mechanisms providing for homeorrhesis and well-being of domestic animals in response to changes in the external environment (e.g., light, temperature, social). Prerequisites: BIOL 107 and 6 units in university-level chemistry.","['BIOL 107', '6 UNITS IN UNIVERSITY-LEVEL CHEMISTRY']",
AN SC 311,"The physiological basis of the metabolic processes in domestic animals. Includes a review of the physiological mechanisms and neuroendocrine regulation of digestion, metabolism, growth and lactation. Prerequisite: AN SC 310.",['AN SC 310'],
AN SC 312,"The physiological basis of reproduction, fertility and embryonic development in domestic animals in relation to animal productivity. The study of the physiological mechanisms regulating gonadal function, fertilization, implantation, pregnancy and parturition as well as the physiological basis for sound reproductive management. Prerequisite: AN SC 310.",['AN SC 310'],
AN SC 318,Fundamentals of interactions between microorganisms and animals and how these interactions integrate with animal production and improvement of animal health. Emphasis on the evolution and ecology of the microbial inhabitants with the host and the underlying molecular mechanisms of the host microbial interactions. Pre- or corequisite: MICRB 265 or BIOL 207.,,"[['MICRB 265', 'BIOL 207']]"
AN SC 320,"Concepts of growth and development applied to meat production from farm livestock. Form and function of bone, muscle and fat. Livestock and carcass appraisal. Prerequisite: AN SC 101 or 200 or 3 units in BIOL.","[['AN SC 101', 'AN SC 200', '3 UNITS IN BIOL']]",
AN SC 325,"An in-depth study of equine anatomy, physiology, husbandry and diseases, both infectious and non-infectious. Equine nutrition, behaviour and the horse industry will also be examined. Not to be taken if credit received for AN SC 110. Prerequisite: 30 units or (BIOL 107 and BIOL 108)","[['30 UNITS', '(BIOL 107'], 'BIOL 108)']",
AN SC 375,"Principles of maintaining healthy animals, and an examination of current issues related to animal health and disease. Infectious and non-infectious diseases that affect both animal and human health and may impact international trade and export. Principles and mechanisms of immunity, disease surveillance, pathophysiology, treatment, prevention, management and economic impact of specific diseases and risks of bioterrorism. Prerequisite: 3 units of AN SC 100, AN SC 101, or ANSC 200 or consent of instructor. AN SC 310 or PHYSL 210 or (ZOOL 241 and 242) are recommended.","['3 UNITS OF AN SC 100', 'AN SC 101', ['ANSC 200']]",
AN SC 376,An overview of animal welfare as it relates to both food and companion animals. Discussion of the scientific and ethical components that underlie our evaluation of the quality of life that animals experience. Prerequisite: (AN SC 101 or 200) or (3 units in biology and consent of instructor) and 60 units.,"[['(AN SC 101', '(AN SC 00)', '(3 UNITS IN BIOLOGY)'], '60 UNITS']",
AN SC 377,Basic behaviour principles for food animal species including their application in livestock production systems. Fundamentals of experimental research and design in applied ethology. Prerequisite: AN SC 101 or 200 or consent of instructor and 60 units.,"[['AN SC 101', 'AN SC 200'], '60 UNITS']",
AN SC 378,"Basic behaviour principles for companion animal species such as dogs, cats, and horses, including application of fundamental training and learning techniques to resolve common behaviour problems. Prerequisite: AN SC 100, PSYCH 104 and 60 units.","['AN SC 100', 'PSYCH 104', '60 UNITS']",
AN SC 384,"An introduction to the basic principles of animal genetics and their practical application in selection strategies, breeding systems, and methods of improvement for domestic animals. Prerequisites: BIOL 207 and AN SC 101 or consent of instructor.","['BIOL 207', 'AN SC 101']",
AN SC 400,"Project or reading course supervised by a Faculty member, requiring preparation of a comprehensive report. Prerequisites: Third year standing or higher and consent of Department. Note: May be taken more than once if topic is different.","['THIRD YEAR ST', ['ING', 'HIGHER'], 'CONSENT OF DEPARTMENT']",
AN SC 410,Study of basic physiological mechanisms involved in the control of reproduction in domesticated animals as a basis for developing practical approaches for the regulation of reproductive processes. Prerequisite: AN SC 312 or consent of Instructor.,['AN SC 312'],
AN SC 411,"Application of immunological principles to the understanding of animal health and disease with a focus on livestock and companion animals. Students will apply a broad understanding of host-pathogen interactions and the basic mechanisms of disease progression to assess the short and long-term impact of pathogenesis to the health of animals, their caretakers, and consumers. Lectures will be followed by active discussion of selected readings. Prerequisite: IMIN 200 or AN SC 375.","[['IMIN 200', 'AN SC 375']]",
AN SC 420,"The conversion of muscle to meat in livestock and poultry: definitions and measurement of carcass and meat quality; influences of pre- and post-slaughter factors on carcass and meat quality. The lab will consist of a two day field trip during Reading Week. Prerequisite: 3 units in BIOCH, AN SC 320, or consent of instructor.","['3 UNITS IN BIOCH', 'AN SC 320']",
AN SC 461,"Integration of theory and practical concepts in ruminant nutrition, digestion and metabolism through topics such as energy flow in ruminants, protein systems and net feed efficiency. Laboratories will involve formulation of rations for various physiological states of beef and dairy cattle, economical rations, feed mixes, protein systems (degradable and undegradable protein systems) and net feed efficiency formulations. Prerequisite: AN SC 260 or 3 units in NUTR.","[['AN SC 260', '3 UNITS IN NUTR']]",
AN SC 462,"Nutrient utilization and requirements, feed ingredients and applied feeding programs for poultry and swine. Feed formulation strategies and current topics in poultry and swine nutrition will be discussed in detail. Not to be taken if credit received for AN SC 463. Prerequisite: AN SC 260, 3 units in NUTR, or 3 units in NU FS 305. Corequisite: AN SC 311 or 6 units in PHYSL.","['AN SC 260', '3 UNITS IN NUTR', ['3 UNITS IN NU FS 305']]","[['AN SC 311', '6 UNITS IN PHYSL']]"
AN SC 464,"Aimed at fourth year undergraduate students with an interest in companion animal nutrition. The course will focus on nutrient utilization and requirements of dogs, cats, and horses. Other companion animal species (mammals, birds, reptiles, fish, amphibians, etc.) will also be covered. Current issues in pet food nutrition and manufacture will be discussed. Prerequisite: AN SC 260, 3 units in NUTR or 3 units in NU FS 305.","['AN SC 260', ['3 UNITS IN NUTR', '3 UNITS IN NU FS 305']]",
AN SC 471,"Study of avian anatomy, physiology, behavior, and health as it relates to modern poultry production. Current management practices to optimize production efficiency and animal well-being are examined. Prerequisites: (AN SC 101 or 200), AN SC 260 and  AN SC 310.","[['(AN SC 101', '(AN SC 00)'], 'AN SC 260', 'AN SC 310']",
AN SC 472,"Examination of the structure of the dairy industry, evaluation of management practices to optimize production efficiency and animal well-being, and integration of nutritional, physiological, and biochemical processes involved in production of quality milk. Laboratories emphasize practical applications, field trips, and discussion. Prerequisite: (AN SC 101 or 200), AN SC 260 and 310, or consent of instructor.","[['(AN SC 101', '(AN SC 00)'], 'AN SC 260', 'AN SC 310']",
AN SC 473,A team-based capstone course to train students to participate in the North American Intercollegiate Dairy Challenge programs held in the US or equivalent local programs. Students will work in groups to gain integrative and experiential learning and develop skills related to comprehensive evaluation of dairy operations and consulting presentation. Prerequisite: AN SC 472 or consent of instructor.,['AN SC 472'],
AN SC 474,"Examination of current and potential future production and management practices to optimize production efficiency and animal well-being in the Canadian and international beef industry. Laboratories emphasize practical applications, field trips, and discussion. Prerequisites: (AN SC 101 or 200), AN SC 260 and AN SC 310.","[['(AN SC 101', '(AN SC 00)'], 'AN SC 260', 'AN SC 310']",
AN SC 476,"Evaluation of swine breeding, feeding, housing management, and disease prevention practices that optimize production efficiency and animal well-being. Laboratories involve analysis of production practices with a view to optimizing efficiency. Prerequisites: (AN SC 101 or 200), AN SC 260 and AN SC 310.","[['(AN SC 101', '(AN SC 00)'], 'AN SC 260', 'AN SC 310']",
AN SC 479,A team-based capstone course exploring broad areas of animal agriculture. Students will work in groups with mentors on a project involving experiential learning and skill development related to the field.,,
AN SC 485,Application of genetic/genomic principles and methods to the improvement of livestock and poultry. Prerequisite: AN SC 384 or consent of instructor.,['AN SC 384'],
AN SC 488,"An advanced course aimed at fourth year undergraduate students with an interest in using animal nutrition to solve animal health problems. The course will focus on problems that are associated with animal longevity, mortality and morbidity and will translate research findings into nutrition recommendations. Prerequisite: AN SC 461 or AN SC 464; or corequisite AN SC 462.","[['AN SC 461', 'AN SC 464']]",
AN SC 496,Exploration of research methods and measures; critical appraisal of research on the human-animal bond; application of research findings to the improvement of human and animal welfare. Students will conduct library and empirical research in the laboratory component. Prerequisites: AN SC 378 or (90 units and consent of instructor).,"[['AN SC 378', '(90 UNITS)']]",
AN SC 499,A team-based capstone course exploring broad areas of animal health or animal science. Students will work in groups with mentors on a project involving experiential learning and skill development related to the field. Credit cannot be obtained in both AN SC 499 and AN SC 479.,,
AREC 173,"A cornerstone course that provides an introduction to social perspectives on everything from what we eat for breakfast to how we protect endangered species and agricultural landscapes. Topics covered include current issues around food production and consumption and issues related to sustainability of our natural and social systems. Debates over new technologies (e.g., GMOs, nanotechnology), food, environment, and health can only be understood in the context of political, economic and personal decisions.",,
AREC 200,"Applications of economic principles to problems and current issues relating to agriculture, food and the environment. Prerequisite: ECON 101 or consent of Department.",['ECON 101'],
AREC 214,"An introduction to methods and tools that are used to solve quantitative problems related to agriculture, food, forestry, and the environment. Emphasis is on the use of these techniques for economic analysis. Students are introduced to the use of linear algebra, calculus and constrained optimization techniques. Classroom examples, laboratory assignments and computer tutorials are provided to give practice in applying quantitative tools to empirical problems. Prerequisite: Mathematics 30-1.",['MATHEMATICS 30-1'],
AREC 250,"This course will provide an introduction to the economics and business concepts in the biotechnology industry with an emphasis on food produced using genetic modification and other food technologies. The basic science behind GM foods will be discussed, but most of the material will focus on the social, economic, environmental, and legal issues surrounding GM foods. Key questions will be addressed using peer-reviewed literature and case studies, and the material will be presented from various disciplinary viewpoints.",,
